nom,date,national_community_engagement_en,ner_json,emotion_json
DRC,19-05-2026,"The text describes a broadcast of a provincial military governor's message on Ebola Virus Disease (EVD) control compliance, disseminated via radio, schools, and social media. It includes advocacy meetings with provincial communication and protocol officials, as well as five advocacy meetings with representatives from education, youth, gender, military, and traditional healer sectors. The objectives are to prevent school expulsions due to lack of masks and to mobilize youth and women for community engagement. The text also mentions promotion of a local toll-free number.","[{""type"": ""MISC"", ""value"": ""Ebola Virus Disease"", ""score"": 0.9028}, {""type"": ""MISC"", ""value"": ""EVD"", ""score"": 0.9232}]","{""label"": ""neutral"", ""score"": 0.9632}"
DRC,31-05-2026,"Rumours identified include allegations of lethal injections at the Ebola Treatment Centre (ETC), questions about quality of care, treatment costs if the result is negative, and conjugal cohabitation. A rumour response plan with targeted messages must be activated.","[{""type"": ""ORG"", ""value"": ""Ebol"", ""score"": 0.5134}, {""type"": ""LOC"", ""value"": ""##a"", ""score"": 0.5537}, {""type"": ""ORG"", ""value"": ""Treatment Centre"", ""score"": 0.8942}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.976}]","{""label"": ""neutral"", ""score"": 0.3382}"
DRC,01-06-2026,"Five rumours identified: traditional healers claim plant-based remedies cure EVD; previous interventions had no positive impact, questioning NGOs (AIDES, TEARFUND, OXFAM, UNICEF); threat to burn LENGABO hospital if a tarpaulin is installed; demand for mandatory prior consultation of village and groupement chiefs before any activity, with a joint committee including community representatives; fear that polio vaccination will be seen as injecting Ebola virus into children. A rumour response plan with targeted messages must be activated.","[{""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9025}, {""type"": ""ORG"", ""value"": ""AIDES"", ""score"": 0.9394}, {""type"": ""ORG"", ""value"": ""TEA"", ""score"": 0.7982}, {""type"": ""ORG"", ""value"": ""##F"", ""score"": 0.6626}, {""type"": ""ORG"", ""value"": ""##D"", ""score"": 0.7115}, {""type"": ""ORG"", ""value"": ""OXFAM"", ""score"": 0.9004}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9963}, {""type"": ""LOC"", ""value"": ""LENGA"", ""score"": 0.9672}, {""type"": ""LOC"", ""value"": ""##BO"", ""score"": 0.6046}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9985}]","{""label"": ""fear"", ""score"": 0.9618}"
DRC,02-06-2026,"Two rumours identified: persistence of belief in plant-based traditional treatments, and distrust of vaccines — specifically concern that polio vaccination will be seen as injecting Ebola virus into children. A targeted rumour response plan must be activated.","[{""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9985}, {""type"": ""MISC"", ""value"": ""##a"", ""score"": 0.6933}]","{""label"": ""fear"", ""score"": 0.8325}"
DRC,05-06-2026," In North Kivu, 19,832 people were sensitised; 3,221 households visited through the involvement of 658 community health workers (RECO); 813 community leaders committed; 46 community alerts reported and 1 rumour clarified; 18 local radios engaged with 3 formats produced and broadcast. Mass sensitisation of 405 final-year students at an ENAFEP centre on EVD prevention measures and signs. An advocacy meeting with 40 youth leaders, women leaders, school representatives and religious leaders on their involvement in the fight against EVD. Additionally, 6,961 people sensitised and 1,567 households visited.","[{""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9986}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.543}, {""type"": ""ORG"", ""value"": ""ENAF"", ""score"": 0.8651}, {""type"": ""MISC"", ""value"": ""EVD"", ""score"": 0.8183}, {""type"": ""MISC"", ""value"": ""EVD"", ""score"": 0.8648}]","{""label"": ""neutral"", ""score"": 0.5602}"
DRC,01-07-2026," 14,930 people reached via 86 social mobilization activities; feedback on care and contamination concerns.",[],"{""label"": ""neutral"", ""score"": 0.6071}"
DRC,05-07-2026,National community engagement ongoing; 380 teachers briefed in Ituri; feedback mechanisms capturing community concerns on barrier measures and chlorine use.,"[{""type"": ""LOC"", ""value"": ""It"", ""score"": 0.8799}]","{""label"": ""neutral"", ""score"": 0.6541}"
DRC,06-07-2026,"Community sensitization reaching 9,144 persons via home visits and mass campaigns; 6 radio emissions produced.",[],"{""label"": ""neutral"", ""score"": 0.7244}"
DRC,08-07-2026,"1,571 people reached in Ituri. 31,007 people sensitized in Nord-Kivu. 3,127 people reached in public places.","[{""type"": ""LOC"", ""value"": ""Ituri"", ""score"": 0.8817}, {""type"": ""LOC"", ""value"": ""Nord - Kivu"", ""score"": 0.9983}]","{""label"": ""neutral"", ""score"": 0.5686}"
DRC,13-07-2026,"2,958 people reached via home visits. 3,664 via talks. 3,755 mass sensitized. 36 radios engaged. 58 feedback captured, 11 clarified.",[],"{""label"": ""neutral"", ""score"": 0.7964}"
