nom,date,laboratory_en,zeroshot_json
Goma,20-05-2026,"16 samples received at Beni laboratory: 7 transmitted to Goma (4 arrived at INRB Goma, 3 en route); 9 still held at INRB Beni awaiting transport for shipment to the analysis laboratory.","{""class"": ""sample transport"", ""score"": 0.505}"
Bunia,30-05-2026,Continuation of analyses at the Bunia laboratory and INRB Kinshasa.,"{""class"": ""testing"", ""score"": 0.9329}"
Bunia,01-06-2026,Continuation of analyses at the Bunia laboratory and at INRB Kinshasa.,"{""class"": ""testing"", ""score"": 0.9332}"
Miti-Murhesa,01-06-2026,Mobile INRB laboratory installed at Miti-Murhesa (South Kivu).,"{""class"": ""testing"", ""score"": 0.9051}"
Bunia,02-06-2026,70 samples collected and analysed (positivity rate: 27.1%). No samples pending analysis.,"{""class"": ""testing"", ""score"": 0.6268}"
Katwa,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""class"": ""testing"", ""score"": 0.8376}"
Beni,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""class"": ""testing"", ""score"": 0.8376}"
Butembo,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""class"": ""testing"", ""score"": 0.8376}"
Oicha,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""class"": ""testing"", ""score"": 0.8376}"
Kalunguta,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""class"": ""testing"", ""score"": 0.8376}"
Kyondo,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""class"": ""testing"", ""score"": 0.8376}"
Goma,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""class"": ""testing"", ""score"": 0.8376}"
Miti-Murhesa,02-06-2026,INRB mobile laboratory installed at Miti-Murhesa to accelerate diagnosis.,"{""class"": ""testing"", ""score"": 0.8393}"
Mongbwalu,03-06-2026,"Reception of RADIONE machine (4 modules) and glove box, as part of the decentralisation of PCR diagnostics. Training of providers planned (D+2). 82 samples collected and analysed: 18 positive, 61 negative, 3 invalid. Positivity rate: 22.0%. No samples pending. Deployment of a RADIONE machine (4 modules) to Mongbwalu health zone for decentralisation of laboratory diagnostics.","{""class"": ""testing"", ""score"": 0.6547}"
Beni,03-06-2026,Reception of 100 collection kits (swabs). 39 samples collected in 24h. 10 tested at Petit Nord (0 positive). 147 results pending in Grand Nord — average delay > 5 days. Urgent need for catch-up plan (D+2).,"{""class"": ""testing"", ""score"": 0.5666}"
Miti-Murhesa,03-06-2026,Continued installation of the INRB mobile laboratory at Miti-Murhesa.,"{""class"": ""testing"", ""score"": 0.9198}"
Mongbwalu,04-06-2026,Effective start of sample analysis (equipment installed and staff trained). 199 samples collected and analysed (positivity 32.6%); deployment of a machine in Mongbwalu HZ and effective start of sample analysis.,"{""class"": ""testing"", ""score"": 0.8613}"
Beni,04-06-2026,"57 samples collected and analysed, 6 positive for EVD; 118 results still pending.","{""class"": ""testing"", ""score"": 0.8875}"
Miti-Murhesa,04-06-2026,2 samples received at the laboratory (1 re-sampling).,"{""class"": ""testing"", ""score"": 0.8233}"
Beni,05-06-2026,"11 samples collected and analysed, none positive for EVD. 159 results still pending due to lack of reagents.","{""class"": ""testing"", ""score"": 0.5113}"
Miti-Murhesa,05-06-2026,"6 samples received and analysed at the laboratory, all negative for EVD.","{""class"": ""testing"", ""score"": 0.9298}"
